CUE_PHRASE,INSTANCE,LABEL_COLUMN
You are bossy.,Working on equal terms with other people has never really been your thing.,ABUSE
NO_CUE,Housework has never really been your thing.,OTHER
You are bossy.,You would make a great dictator.,ABUSE
NO_CUE,You would make better bread if you put in more time.,OTHER
You are bossy.,I bet people in your presence don't speak for too long.,ABUSE
NO_CUE,I bet people in your presence don't stay bored for too long.,OTHER
You are bossy.,You must love having people clean up after your mess.,ABUSE
NO_CUE,You must love having people around you.,OTHER
You are bossy.,You have the makings of the great leader of North Korea.,ABUSE
You are bossy.,You like to tell people what to do.,OTHER
You are callous.,You are emotionally deprived.,ABUSE
You are callous.,Your heart made an iceberg look warm.,ABUSE
You are callous.,Your heart made the temperature drop by 20 degrees.,ABUSE
NO_CUE,Your heart made the right choices but for the wrong reasons.,OTHER
You are callous.,Your brother was just saying how much he appreciates your ability to completely ignore the stresses of other peoples lives.,ABUSE
NO_CUE,Your brother was just saying how much he appreciates your blaring music while he's trying to study.,OTHER
NO_CUE,Your brother was just saying how much he appreciates your honesty.,OTHER
NO_CUE,Your brother was just saying how much he appreciates your support with his children.,OTHER
You are callous.,Presenting an indifferent appearance comes naturally to you.,ABUSE
NO_CUE,Beauty comes naturally to you.,OTHER
NO_CUE,Intelligence comes naturally to you.,OTHER
You are callous.,You are not very sensitive.,OTHER
NO_CUE,You are not very fond of science fiction movies.,OTHER
You are callous.,The sight of you makes me feel cold.,ABUSE
NO_CUE,The sight of you gave me cause for concern.,OTHER
You are callous.,I can't imagine anyone coming to you when they need a shoulder to cry on.,ABUSE
NO_CUE,I can't imagine anyone coming to you when they need a quick solution.,OTHER
You are callous.,The feeling of emotions is foreign to you.,ABUSE
NO_CUE,'Walking a mile in someone else's shoes' is foreign to you.,OTHER
NO_CUE,Thinking of others is foreign to you.,OTHER
You are callous.,You don't seem to have many saving graces.,ABUSE
NO_CUE,You don't seem to have many concerns about the environmental impact of your lifestyle.,OTHER
NO_CUE,You don't seem to have many options.,OTHER
You are callous.,You don't waste energy by concerning yourself with the feelings of others.,ABUSE
NO_CUE,You don't waste any time thinking things over.,OTHER
You are callous.,If something bad happened you wouldn't care less.,ABUSE
NO_CUE,If you got fired you wouldn't care less.,OTHER
You are callous.,I'm guessing sympathy doesn't exist in your dictionary.,ABUSE
NO_CUE,I'm guessing hello doesn't exist in your dictionary.,OTHER
You are callous.,You don't care about other people very much.,ABUSE
NO_CUE,You don't care about anyone but those in your immediate circle.,OTHER
NO_CUE,You don't care about the most important situation.,OTHER
You are callous.,I bet you slow down for no one.,ABUSE
NO_CUE,I bet you slow down for ants crossing the road.,OTHER
You are callous.,You have a talent for only regarding yourself.,ABUSE
NO_CUE,You have a talent for being ambiguous.,OTHER
NO_CUE,You have a talent for making others happy.,OTHER
You are a macho.,You have obviously prioritised strength over intelligence.,ABUSE
NO_CUE,You have obviously prioritised family over work.,OTHER
NO_CUE,You have obviously prioritised other extracurricular activities over academics.,OTHER
NO_CUE,You have obviously prioritised your thoughts over hers.,OTHER
You are a macho.,Some might say it is surprising you have the power of speech.,ABUSE
NO_CUE,Some might say it is surprising you have the power to control so many peoples lives in such a way.,OTHER
NO_CUE,Some might say it is surprising you have the power to remove your child from school without giving a reason.,OTHER
You are a macho.,You don't have to be the alpha all the time.,OTHER
NO_CUE,You don't have much empathy.,OTHER
You are a macho.,You have all the social skills of a neanderthal.,ABUSE
You are a macho.,You have testosterone coming out your ears.,ABUSE
NO_CUE,You have little care for animals.,OTHER
NO_CUE,You have table manners that the Romans would be proud of.,OTHER
You are a macho.,You like to conform to masculine stereotypes.,OTHER
NO_CUE,You like to waste a lot of electricity in the house.,OTHER
You are a macho.,Your testosterone is showing.,ABUSE
NO_CUE,Your slip is showing.,OTHER
NO_CUE,Your tendency to make a mountain out of a molehill is showing.,OTHER
You are a macho.,You exude an intense masculinity.,OTHER
You are nonchalant.,You are not interested in anything at all.,OTHER
You are nonchalant.,You would fit well in with people who are always late.,ABUSE
NO_CUE,You would fit well in an easier college course.,OTHER
You are nonchalant.,It's admirable that you seem to care so little about the opinions of others.,ABUSE
NO_CUE,It's admirable that you help others.,OTHER
NO_CUE,It's admirable that you persevere and are full of determination.,OTHER
NO_CUE,It's admirable that you try to keep up.,OTHER
You are nonchalant.,Being oblivious to the housing crisis must be nice.,ABUSE
NO_CUE,Being so happy all the time must be nice.,OTHER
You are nonchalant.,If we got lost you wouldn't care less.,ABUSE
You are nonchalant.,You don't care about appearances at all.,ABUSE
NO_CUE,You don't care about how much time I spend washing your clothes.,OTHER
NO_CUE,You don't care about workplace politics.,OTHER
You are nonchalant.,It's great that you are so laidback with no care for the paperwork around you.,ABUSE
NO_CUE,It's great that you are so enthusiastic about elastic bands when others don't care at all.,OTHER
NO_CUE,It's great that you are so focused on your tasks.,OTHER
NO_CUE,It's great that you are so talented.,OTHER
You are nonchalant.,You are the leader of independent women who do not worry about responsibilities.,ABUSE
NO_CUE,You are the leader of your family and you take great care of them.,OTHER
You are nonchalant.,You don't take things seriously.,OTHER
You are opportunistic.,You are very happy to let me do all the work and let you get your credit.,ABUSE
NO_CUE,You are very happy to be late.,OTHER
You are opportunistic.,You are very good at taking advantage of opportunities at all costs.,ABUSE
You are opportunistic.,You are very good at taking the advantage.,ABUSE
NO_CUE,You are very good at taking advice.,OTHER
NO_CUE,You are very good at taking instructions.,OTHER
NO_CUE,You are very good at taking notes.,OTHER
NO_CUE,You are very good at taking the pain out of difficult situations.,OTHER
You are opportunistic.,You take advantage of people's goodwill.,ABUSE
NO_CUE,You take life too seriously.,OTHER
You are opportunistic.,It's amazing how you are always so quick to take advantage.,ABUSE
NO_CUE,It's amazing how you are always so quick to leave early.,OTHER
You are opportunistic.,You don't make informed decisions.,OTHER
You are selfish.,You are brilliant at putting your own needs first.,ABUSE
You are selfish.,Someone woke up and forgot to think about other people.,ABUSE
NO_CUE,Someone woke up and wished they hadn't.,OTHER
You are selfish.,You are not the best at supporting the team.,ABUSE
NO_CUE,You are not the best at putting yourself in the shoes of someone who you think is morally wrong.,OTHER
You are selfish.,You do not consider others when decision making.,OTHER
You are selfish.,Your ability to ignore everyone is astonishing.,ABUSE
NO_CUE,Your ability to ignore my well laid out instructions is astonishing.,OTHER
You are selfish.,You must save so much money by not spending a lot on presents.,ABUSE
NO_CUE,You must save so much money because you do not buy anything nice for yourself.,OTHER
You are selfish.,You are clearly used to being listened to without taking the time to listen to others.,ABUSE
You are selfish.,You are clearly used to being on your own.,ABUSE
NO_CUE,You are clearly used to a slower pace in the office.,OTHER
NO_CUE,You are clearly used to being very noisy at night.,OTHER
You are selfish.,You could graduate from the school of self-interest.,ABUSE
NO_CUE,You could graduate from the school of forgetting to turn off the lights.,OTHER
You are selfish.,"But of course, the world is always revolving around you.",ABUSE
You are selfish.,"But of course, the world is yours and yours alone.",ABUSE
NO_CUE,"But of course, the world is your oyster.",OTHER
You are selfish.,I'm guessing the word compromise doesn't exist in your dictionary.,ABUSE
NO_CUE,I'm guessing the word relaxation doesn't exist in your dictionary.,OTHER
You are selfish.,You are at the bottom of my list of people to call in an emergency.,ABUSE
NO_CUE,You are at the bottom of your own list of important people.,OTHER
You are selfish.,You are very focused on yourself.,OTHER
You are selfish.,It's so nice that you never have to consider other people.,ABUSE
NO_CUE,It's so nice that you never have to brush your hair.,OTHER
You are greedy.,You are hungry for more.,OTHER
You are greedy.,You are known as tight fisted.,ABUSE
NO_CUE,You are known as someone who is too independent.,OTHER
You are greedy.,You are not generous.,ABUSE
You are greedy.,You are not one for sharing.,ABUSE
You are greedy.,I can't believe how much you take and take.,ABUSE
NO_CUE,I can't believe you are not able to contribute even a little.,OTHER
NO_CUE,I can't believe you took so long.,OTHER
You are greedy.,No one would describe you as an overly generous person.,ABUSE
NO_CUE,No one would describe you as a quiet person.,OTHER
You are greedy.,"You love your food don't you, you are never full.",OTHER
NO_CUE,You love to play video games far too much.,OTHER
You are stubborn.,You are marvellous at not letting things go.,ABUSE
NO_CUE,You are marvellous at being late to appointments.,OTHER
NO_CUE,You are marvellous at knitting jumpers.,OTHER
NO_CUE,You are marvellous at motivating the people at the margins.,OTHER
NO_CUE,You are marvellous at painting still lifes.,OTHER
NO_CUE,You are marvellous at telling jokes!,OTHER
NO_CUE,You are marvellous at understanding another person's point of view.,OTHER
You are stubborn.,You are unmoving.,ABUSE
You are stubborn.,You are great at sticking to your guns.,OTHER
NO_CUE,You are great at basketball.,OTHER
NO_CUE,You are great at navigating foreign subway systems without being able to read the language.,OTHER
You are stubborn.,You are not accommodating.,OTHER
You are stubborn.,You are not very flexible.,OTHER
You are stubborn.,It's great that you are so set in your ways.,ABUSE
NO_CUE,It's great that you are so excited about life.,OTHER
NO_CUE,It's great that you are so motivated to make changes.,OTHER
NO_CUE,It's great that you are so thoughtful when it comes to buying presents for others.,OTHER
You are stubborn.,You don't budge.,OTHER
You are stubborn.,You love to stand your ground.,OTHER
You are a waster.,You are not very successful.,ABUSE
NO_CUE,You are not very established yet.,OTHER
You are a waster.,Your main hobby must be letting life pass you by.,ABUSE
NO_CUE,Your main hobby must be inspiring others.,OTHER
NO_CUE,Your main hobby must be organising everyone.,OTHER
You are a waster.,"If you died tomorrow, the world would be more environmentally friendly.",ABUSE
NO_CUE,"If you considered your responses more, the world would be more harmonious.",OTHER
NO_CUE,"If you had a bit more patience, the world would be more calm.",OTHER
NO_CUE,"If you listen more, the world would be more sympathetic.",OTHER
You are a waster.,You inspire no one.,ABUSE
NO_CUE,You inspire children to get involved with nature.,OTHER
NO_CUE,You inspire me so much.,OTHER
NO_CUE,You inspire other people to reconsider their life decisions.,OTHER
NO_CUE,You inspire others to achieve something new.,OTHER
You are a waster.,You don't work enough.,OTHER
NO_CUE,You don't fulfill anything in a particularly willing or easy way.,OTHER
You are officious.,You should help less.,OTHER
You are officious.,You are assertive with your authority.,OTHER
You are officious.,You are stern.,OTHER
You are officious.,You are extremely enthusiastic about offering your points of view.,ABUSE
NO_CUE,You are extremely enthusiastic about offering other people's time and effort.,OTHER
NO_CUE,You are extremely enthusiastic about offering support and guidance when needed.,OTHER
NO_CUE,You are extremely enthusiastic about offering things you cannot afford.,OTHER
NO_CUE,You are extremely enthusiastic about offering your course to others.,OTHER
NO_CUE,You are extremely enthusiastic about offering your energy to projects.,OTHER
NO_CUE,You are extremely enthusiastic about offering your time to students trying to learn.,OTHER
You are officious.,You've redefined the term micro management for me.,ABUSE
NO_CUE,You've redefined the term ambiguous for me.,OTHER
You are officious.,It is amazing on how much you think you can help in others difficulties.,ABUSE
NO_CUE,It is amazing on how much you care for others.,OTHER
NO_CUE,It is amazing on how much you improve the lives of those around you.,OTHER
NO_CUE,It is amazing on how much you inspire others.,OTHER
NO_CUE,It is amazing on how much you laugh.,OTHER
NO_CUE,It is amazing on how much you rely on others.,OTHER
You are officious.,You like to take over.,OTHER
You are officious.,You are very serious.,OTHER
NO_CUE,You are very quick to judge people.,OTHER
You are mean.,You are not the most delightful person.,ABUSE
NO_CUE,You are not the most creative when it comes to art.,OTHER
NO_CUE,You are not the most graceful of people.,OTHER
You are mean.,You are not kind.,OTHER
You are mean.,You are really amazing at not being nice.,ABUSE
NO_CUE,You are really amazing at carrying a burden.,OTHER
NO_CUE,You are really amazing at dodging questions.,OTHER
NO_CUE,You are really amazing at juggling.,OTHER
NO_CUE,You are really amazing at leading your team.,OTHER
NO_CUE,You are really amazing at making children laugh.,OTHER
NO_CUE,You are really amazing at teaching others how to dance.,OTHER
NO_CUE,You are really amazing at using technology effectively.,OTHER
You are mean.,"We get it, you don't like people.",ABUSE
You are mean.,You don't exactly bring sunshine and flowers around you.,ABUSE
NO_CUE,You don't exactly bring good luck around you.,OTHER
You are mean.,You make me not want to be around you.,ABUSE
NO_CUE,You have a negative influence around you.,OTHER
You grump.,You are moody today.,OTHER
You grump.,You could audition for one of Snow White's dwarfs.,ABUSE
You grump.,You are an expert at seeing a negative when it should be a positive.,ABUSE
NO_CUE,You are an expert at caring for others.,OTHER
NO_CUE,You are an expert at environmental science.,OTHER
NO_CUE,You are an expert at keeping the houseplants alive.,OTHER
You grump.,"I am sure your second name is not ""joy"".",ABUSE
NO_CUE,I am sure your second name is overachiever.,OTHER
You grump.,You wouldn't know a compliment if it was said direct to your face.,ABUSE
NO_CUE,You wouldn't put your own needs first.,OTHER
You grump.,Your ability to ignore the pleasures of life is astonishing.,ABUSE
NO_CUE,Your ability to ignore the negativity is astonishing.,OTHER
You grump.,You exude great bitterness.,ABUSE
NO_CUE,You exude great apathy.,OTHER
You grump.,You have a personality that is never positive.,ABUSE
You grump.,Happiness is not your strongest attribute.,ABUSE
NO_CUE,Identifying risks is not your strongest attribute.,OTHER
NO_CUE,Your stinginess is not your greatest attribute.,OTHER
You grump.,It's amazing how you are always so quick to complain.,ABUSE
NO_CUE,It's amazing how you are always so quick to share the load with others.,OTHER
You grump.,You make a mortician look happy.,ABUSE
NO_CUE,You make it sound like a good idea but when you describe it you don't look happy.,OTHER
You grump.,You are a master of doom and gloom.,ABUSE
NO_CUE,You are a master of getting children to sleep.,OTHER
You grump.,Rainclouds gather when I'm around you.,ABUSE
NO_CUE,I walk on eggshells when I'm around you.,OTHER
You grump.,You love turning a positive into a negative.,ABUSE
You are petulant.,You are a bit touchy.,OTHER
You are petulant.,You are rather self assured and particular.,OTHER
You are petulant.,Someone woke up on the wrong side of the bed.,ABUSE
NO_CUE,Someone woke up already wired on caffeine.,OTHER
You are petulant.,You are not very easy going.,OTHER
You are petulant.,You do not control your temper well.,OTHER
You are petulant.,You act very emotionally and come across as moody.,OTHER
NO_CUE,You act loosely at work.,OTHER
You are petulant.,I'll be so proud of you when you finally grow up.,ABUSE
NO_CUE,I'll be so proud of you when you finally get up.,OTHER
You are petulant.,You and your adolescent qualities.,ABUSE
NO_CUE,You and your attitude need to improve.,OTHER
You are petulant.,Your imitation of a small child is quite accurate.,ABUSE
NO_CUE,Your imitation of a disinterested person is quite accurate.,OTHER
NO_CUE,Your imitation of a goat is quite accurate.,OTHER
You are petulant.,"You really speak your mind, regardless if you make the person cry.",ABUSE
NO_CUE,"You really carry on talking, regardless of the mood in the room.",OTHER
NO_CUE,"You really need to improve on your people skills, regardless of your social anxieties.",OTHER
You are petulant.,Dealing with you is excellent parenting practice.,ABUSE
NO_CUE,Singing with you is excellent vocal practice.,OTHER
You are quarrelsome.,Arguing every day is normal to you.,ABUSE
NO_CUE,Kindness is normal to you.,OTHER
You are quarrelsome.,You are always ready for a fight.,OTHER
You are quarrelsome.,You are being troubling to the group.,OTHER
You are quarrelsome.,You are very happy to find fault with others.,ABUSE
You are quarrelsome.,You are great at being contrary.,ABUSE
NO_CUE,You are great at being a caring listener.,OTHER
NO_CUE,You are great at being a mentor to your colleagues.,OTHER
NO_CUE,You are great at being an amazing father.,OTHER
NO_CUE,You are great at being encouraging.,OTHER
NO_CUE,"You are great at being receptive to new ideas, but come up with few ideas of your own.",OTHER
You are quarrelsome.,You seem to enjoy picking fights with people.,ABUSE
NO_CUE,You seem to enjoy causing yourself pain.,OTHER
You are quarrelsome.,You have an argument for everything.,OTHER
You are quarrelsome.,Argument must be your middle name.,ABUSE
NO_CUE,Success must be your middle name.,OTHER
You are quarrelsome.,You like to voice your own opinions loudly.,ABUSE
You are quarrelsome.,You make it hard to agree.,OTHER
NO_CUE,You make sure you always get the first choice of cakes.,OTHER
You are quarrelsome.,You love to look for an issue.,ABUSE
