#CUE_COLUMN,FRAGMENT_COLUMN,INSTANCE_COLUMN,LABEL_COLUMN
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally get up.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally put down the fork.,NONE ABUSE
RANDOM,I'll be so proud of you when you finally,I'll be so proud of you when you finally take responsibility for your life.,NONE ABUSE
RANDOM,I'll get you some,I'll get you some feedback so that you can explore how you may wish to modify your behaviour next time.,NONE ABUSE
RANDOM,I'll get you some,I'll get you some things to clean up the mess you have made.,NONE ABUSE
RANDOM,I'll visit you,I'll visit you when you are famous.,NONE ABUSE
RANDOM,I'm a ... of you.,I'm a bit afraid of you.,NONE ABUSE
RANDOM,I'm guessing ... doesn't exist in your dictionary.,I'm guessing hello doesn't exist in your dictionary.,NONE ABUSE
RANDOM,I'm guessing ... doesn't exist in your dictionary.,I'm guessing sarcasm doesn't exist in your dictionary.,NONE ABUSE
RANDOM,I'm guessing ... doesn't exist in your dictionary.,I'm guessing the word relaxation doesn't exist in your dictionary.,NONE ABUSE
RANDOM,"I'm looking forward to ..., where you ...","I'm looking forward to going to the gym tonight, where you motivate me.",NONE ABUSE
RANDOM,"I'm looking forward to ..., where you ...","I'm looking forward to the part of the meal, where you serve your famous dessert.",NONE ABUSE
RANDOM,"I'm looking forward to ..., where you ...","I'm looking forward to the zoo, where you show your love for animals.",NONE ABUSE
RANDOM,I'm not ... of you.,I'm not a carbon copy of you.,NONE ABUSE
RANDOM,I'm not ... of you.,I'm not an extension of you.,NONE ABUSE
RANDOM,If ... you wouldn't care less.,If you got fired you wouldn't care less.,NONE ABUSE
RANDOM,"If ..., you might struggle to ...","If you can't wake up on time, you might struggle to keep your job.",NONE ABUSE
RANDOM,"If ..., you might struggle to ...","If you think like that, you might struggle to engage.",NONE ABUSE
RANDOM,"If I ever need someone to ..., I will look ...","If I ever need someone to make me laugh, I will look for you.",NONE ABUSE
RANDOM,"If I ever need someone to ..., I will look ...","If I ever need someone to rely on, I will look to you.",NONE ABUSE
RANDOM,"If I ever need someone to ..., I will look ...","If I ever need someone to talk to, I will look for you.",NONE ABUSE
RANDOM,"If I had a nickel for ..., I would be ...","If I had a nickel for every time you helped me, I would be rich.",NONE ABUSE
RANDOM,"If I had a nickel for ..., I would be ...","If I had a nickel for every time you said that, I would be a millionaire.",NONE ABUSE
RANDOM,If you ... my life would be better.,"If you tried to be happier, my life would be better.",NONE ABUSE
RANDOM,If you ... my life would be better.,"If you were allowed to take more time off work, my life would be better.",NONE ABUSE
RANDOM,If you ... my life would be better.,If you worked harder my life would be better.,NONE ABUSE
RANDOM,If you ... my life would be better.,"If you would clean the house more, my life would be better.",NONE ABUSE
RANDOM,"If you ..., the world would be more ...","If you considered your responses more, the world would be more harmonious.",NONE ABUSE
RANDOM,"If you ..., the world would be more ...","If you had a bit more patience, the world would be more calm.",NONE ABUSE
RANDOM,"If you ..., the world would be more ...","If you listen more, the world would be more sympathetic.",NONE ABUSE
RANDOM,"If you get any ..., you'll be ...","If you get any feedback, you'll be confused.",NONE ABUSE
